,STNAME,STATE,YEAR,rep_vote_pct,linear_model_predictions,polynomial4_only_predictions,polynomial_3_only_predictions,polynomial_2_predictions,electoral_votes,actual_result,linear_result,poly_4_result,poly_3_result,poly_2_result,actual_result_mapped,linear_result_mapped,poly_4_result_mapped,poly_3_result_mapped,poly_2_result_mapped
89,Pennsylvania,42,2004,0.4874171790293761,0.4910806975249371,0.4724368009324351,0.4700882510029345,0.4673642204753392,21,0.0,0.0,0.0,0.0,0.0,DEMOCRAT,DEMOCRAT,DEMOCRAT,DEMOCRAT,DEMOCRAT
90,Rhode Island,44,2004,0.3942248942412186,0.4804756581777081,0.4793965628619148,0.4838043627217843,0.3963112758175029,4,0.0,0.0,0.0,0.0,0.0,DEMOCRAT,DEMOCRAT,DEMOCRAT,DEMOCRAT,DEMOCRAT
91,South Carolina,45,2004,0.5863535860141417,0.4600162829966008,0.5402743443648248,0.5408164783594884,0.5507004393112496,8,1.0,0.0,1.0,1.0,1.0,REPUBLICAN,DEMOCRAT,REPUBLICAN,REPUBLICAN,REPUBLICAN
92,South Dakota,46,2004,0.6091329080109369,0.5829897825518771,0.5748096757870584,0.5737908222728265,0.6001378310612253,3,1.0,1.0,1.0,1.0,1.0,REPUBLICAN,REPUBLICAN,REPUBLICAN,REPUBLICAN,REPUBLICAN
93,Tennessee,47,2004,0.5721407460643253,0.5020715409022856,0.5148712607726651,0.5162724218211565,0.5383316242343383,11,1.0,1.0,1.0,1.0,1.0,REPUBLICAN,REPUBLICAN,REPUBLICAN,REPUBLICAN,REPUBLICAN
94,Texas,48,2004,0.6151019189710992,0.4905173861725136,0.5096745226014932,0.5136469793274472,0.5199557163620412,34,1.0,0.0,1.0,1.0,1.0,REPUBLICAN,DEMOCRAT,REPUBLICAN,REPUBLICAN,REPUBLICAN
95,Utah,49,2004,0.7334643916012205,0.6274146269201424,0.6552672551432508,0.6551272898140894,0.6987350337282905,5,1.0,1.0,1.0,1.0,1.0,REPUBLICAN,REPUBLICAN,REPUBLICAN,REPUBLICAN,REPUBLICAN
96,Vermont,50,2004,0.3969899786074883,0.5624919430002095,0.49681596665336514,0.495832318648624,0.4877416456147543,3,0.0,1.0,0.0,0.0,0.0,DEMOCRAT,REPUBLICAN,DEMOCRAT,DEMOCRAT,DEMOCRAT
97,Virginia,51,2004,0.5413369671353006,0.493377295076336,0.5154715713993809,0.5143627212998183,0.5454789057992286,13,1.0,0.0,1.0,1.0,1.0,REPUBLICAN,DEMOCRAT,REPUBLICAN,REPUBLICAN,REPUBLICAN
98,Washington,53,2004,0.4635346231654704,0.5572905940118091,0.565971320739969,0.5624784971131191,0.5793826408303033,11,0.0,1.0,1.0,1.0,1.0,DEMOCRAT,REPUBLICAN,REPUBLICAN,REPUBLICAN,REPUBLICAN
